Rating,Comments,Start Date
4,The residence hall looked great! Iâ€™m excited to come back and hopefully call it home.,7/30/2025 0:00
4,N/A,7/28/2025 0:00
4,Musty smell,7/26/2025 0:00
4,N/A,7/26/2025 0:00
2,Dorm buildings need upgrade,7/25/2025 0:00
4,everything is super clean and kept up with!,7/25/2025 0:00
4,I think everything looks so nice. The common room is spacious and had many options. It was interesting to look at everything to get in idea of things. The only thing is I wouldâ€™ve liked to see the other types of rooms,7/25/2025 0:00
3,No,7/25/2025 0:00
0,the inside was decorated nicely but outside needs a powerwash and upkeeping it looked rather unappealing,7/24/2025 0:00
4,Very impressive,7/24/2025 0:00
4,Larger than expected,7/23/2025 0:00
4,Include Osprey Hall in tour,7/22/2025 0:00
3,Olivia was great!,7/19/2025 0:00
4,N/A,7/18/2025 0:00
4,None,7/18/2025 0:00
4,Nope it was great.,7/18/2025 0:00
4,Very clean and nice,7/18/2025 0:00
4,It was cool,7/17/2025 0:00
4,No,7/16/2025 0:00
4,wish we could have seen the freshman hall,7/16/2025 0:00
4,I thought the set up was very neat and would be helpful in finding out what furniture I would need in my future dorm.,7/15/2025 0:00
3,More information on the other type dorms.,7/15/2025 0:00
3,No,7/15/2025 0:00
2,It was a little too crowded,7/14/2025 0:00
3,it was good but it was a little stank,7/14/2025 0:00
3,Show the different types of rooms,7/14/2025 0:00
4,Yes,7/14/2025 0:00
4,None,7/11/2025 0:00
3,With such a large group it was hard to take more than mere seconds to look around,7/11/2025 0:00
1,Smelled like mold. Seems disconnected from each other for a typical dorm,7/9/2025 0:00
4,It is great!!,7/4/2025 0:00
4,No,7/4/2025 0:00
4,i love it,7/3/2025 0:00
3,Seemed dated. Would have been nice to see common area as well,7/3/2025 0:00
3,The show room looked a little dirty and had an odd smell. The layout though was really nice,7/3/2025 0:00
4,Looked like the pustule needed more cleaning.,7/2/2025 0:00
4,No,7/2/2025 0:00
4,No they look amazing!,7/2/2025 0:00
4,Nope!,7/2/2025 0:00
4,N/A,7/1/2025 0:00
4,Not really,7/1/2025 0:00
4,No,6/30/2025 0:00
